Collection,Year,Part,Model,Number,Stamp,Condition,Origin,URL,Tags,Quantity,Image,Note
McDonald’s,2000,8/20,Future NASCAR Stock Car,,,Used,Grandpa,https://hotwheels.fandom.com/wiki/Future_NASCAR_Stock_Car,,,,
McDonald’s,2000,14/16,Hot Rod,,,Used,Grandpa,https://hotwheels.fandom.com/wiki/McDonald's_Hot_Rod,,,,
1998 First Editions,1998,,1940s Woodie,217,1998,New on card,Flea Market,,,,,
1998 First Editions,1998,22/40,Super Comp Dragster,655,,Opened,Flea Market,,,,,
1998 First Editions,1998,25/40,Tow Jam,,,Opened,Flea Market,https://hotwheels.fandom.com/wiki/Tow_Jam,,,,
1998 First Editions,1998,28/40,Chaparral 2,669,1998,New on card,Flea Market,,,,,
1998 First Editions,1998,33/40,Bad Mudder,662,,New on card,Flea Market,,,,,
1999 First Editions,1999,5/26,Olds Aurora GTS-1,911,1999,New on card,Flea Market,,,,,
1999 First Editions,1999,7/26,Pontiac Rageous,675,,Used,Grandpa,https://hotwheels.fandom.com/wiki/Pontiac_Rageous,,,,
1999 First Editions,1999,77/109,Humvee,1080,,New on card,Flea Market,https://hotwheels.fandom.com/wiki/Humvee_(1992),,,,
2000 First Editions,2000,5/36,Deora II,065,,New on card,Flea Market,,,2,,
2000 First Editions,2000,9/36,Phantastique,,2000,New on card,Flea Market,,,,,
2000 First Editions,2000,10/36,Thomassima 3,,2000,New on card,Flea Market,,,,,
2000 First Editions,2000,10/36,Thomassima 3,,,New (open),Flea Market,,,,,
2000 First Editions,2000,17/36,Anglia Panel Truck,077,2000,New on card,Flea Market,,,,,
2000 First Editions,2000,22/36,Cabbin’ Fever,082,,New on card,Flea Market,,,,,
2000 First Editions,2000,26/36,Shoe Box,086,2000,Opened,Flea Market,,,,,
2000 First Editions,2000,31/36,Roll Cage,091,,Opened,Flea Market,,,,,
2000 First Editions,2000,34/36,Arachnorod,094,2000,New on card,Flea Market,,,,,
2001 First Editions,2001,2/36,Surfin’ School Bus,014,,Opened,Trade,,,,,
2001 First Editions,2001,10/36,Shredster,022,,New on card,Flea Market,,,,,
2001 First Editions,2001,18/36,Hooligan,018,,New on card,Flea Market,,,,,
2002 First Editions,2002,22/42,Jaded,034,2002,New on card,Flea Market,,,,,
2002 First Editions,2002,40/42,Side Draft,052,2002,Opened,Flea Market,,,,,
2003 First Editions,2003,37/42,Ground FX,049,2002,New on card,Flea Market,,,,,
2004 First Editions,2004,60/100,Hummer H3T,060,2004,New on card,Flea Market,,,,,
2004 First Editions,2004,8/100,Tooned Toyota Supra,008,,Opened,Flea Market,,,,,
2004 First Editions,2004,12/100,Blings Dairy Delivery,012,,New on card,Flea Market,,,,,
2004 First Editions,2004,15/100,Blings Dodge Ram Pickup,015,,New on card,Flea Market,,,,,
2004 First Editions,2004,34/100,Blings Hummer H2,034,,New on card,Flea Market,,,,,
2004 First Editions,2004,48/100,Crooze Low Flow,049,2004,New on card,Flea Market,,,,,
2004 First Editions,2004,80/100,Dodge Tomahawk,080,,Opened,Flea Market,,,,,type:Motorcycle
2004 First Editions,2004,100/100,Cool-One,100,,New on card,Flea Market,,,,,
2004 First Editions,2004,94/100,Phantom Racer,094,,Opened,Flea Market,,,,,
2005 First Editions - Blings,2005,1/10,Chrysler 300C,031,,New on card,Flea Market,,,,,
2005 First Editions - Blings,2005,2/10,Ford Bronco Concept,032,,New on card,Flea Market,,,,,
2005 First Editions - Blings,2005,7/10,Hummer H3,037,,New on card,Flea Market,,,,,
2005 First Editions - Torpedoes,2005,7/10,Slider,047,2005,Opened,Flea Market,https://hotwheels.fandom.com/wiki/Slider,,,,
2006 First Editions,2006,17/38,Qombee,017,2006,New on card,Flea Market,,,,,
2007 All Stars,2007,,Flight 2003,185/223,2006,New on card,Flea Market,,,,,
2007 All Stars,2007,,Ford Shelby GR-1 Concept,206/223,2007,New on card,Flea Market,,,,,
2008 First Editions,2008,40/40,Twin Mill III,40/172,2007,New on card,Flea Market,,,,,
2008 New Models,2008,3/40,2007 Audi R8,3/196,,Used,Grandma,https://hotwheels.fandom.com/wiki/Audi_R8,,,,
2010 New Models,2010,24/44,Back Slider,24/240,0040N,Opened,Trade,,,,,
2010 New Models,2010,43/44,Dodge Charger Drift Car,43/240,3139N,New on card,Flea Market,,,,,
2012 New Models,2012,41/50,Blastous Moto,,1832N,Opened,Flea Market,,,,,type:Motorcycle
50th Anniversary,2018,2/6,Twin Mill,,2018,New on card,Flea Market,https://hotwheels.fandom.com/wiki/Twin_Mill,,,,
55th Anniversary Mix 2,2023,1/6,1967 Chevy C10,,,New on card,Walgreens,,,,,
55th Anniversary Mix 2,2023,2/6,Twin Mill,,,New on card,Walgreens,,,2,,
55th Anniversary Mix 2,2023,3/6,Mercedes-Benz Unimog U 1300,,,New on card,Publix,,Chase,,,
55th Anniversary Mix 2,2023,4/6,Porsche 993 GT2,,,New on card,Family Dollar,,,2,,
55th Anniversary Mix 2,2023,5/6,Custom 2001 Acura Integra GSR,,,New on card,Publix,,,,,
55th Anniversary Mix 2,2023,6/6,1967 Camaro,,,New on card,Walgreens,,,,,
56th Anniversary Mix 1,2024,2/6,Toyota Land Cruiser,,,New on card,,,,,,
56th Anniversary Mix 1,2024,3/6,2021 Ford Bronco,,,New on card,Mommy,,,,,
56th Anniversary Mix 1,2024,5/6,Custom 1970 Honda N600,,,New on card,,,,,,
56th Anniversary Mix 1,2024,6/6,Raijin Express,,,New on card,Mommy,,Chase,,,
Marvel Character Cars,2023,,Black Panther,,,New on card,Dollar Tree,,,,,
Pixar Character Cars,2022,,Dug,,,Opened,Mommy,,,,,
World Class Racers,2022,1/5,McLaren Senna,,,New on card,Flea Market,,,,,
Track Builder 5-pack,2018,4/5,Power Pistons,,,Used,Found,,,,,
Track Builder 5-pack,2018,5/5,24 Ours,,,Used,Found,,,,,
City 5-pack,2020,4/5,Scoopa Di Fuego,,,Used,Marketplace,https://hotwheels.fandom.com/wiki/Scoopa Di Fuego,,,,Came with Crash Track
Hot Wheels id: Factory Fresh,2019,3/6,1971 Lamborghini Miura P400 SV,,,Used,Marketplace,https://hotwheels.fandom.com/wiki/'71 Lamborghini Miura SV,ID,,,Came with Launch Box
Hot Wheels id: Factory Fresh,2019,6/6,2015 Jaguar F-Type Project 7,,,Used,Marketplace,https://hotwheels.fandom.com/wiki/'15 Jaguar F-Type Project 7,ID,,,Came with Launch Box
HW Fun Park 5-pack,2020,1/5,Boom Car,,,Used,Marketplace,https://hotwheels.fandom.com/wiki/Boom Car,,,,Came with Launch Box
HW Fun Park 5-pack,2020,4/5,Bump Around,,,Used,Marketplace,https://hotwheels.fandom.com/wiki/Bump Around,,,,Came with Launch Box
HW Fun Park 5-pack,2020,5/5,Bread Box,,,Used,Marketplace,https://hotwheels.fandom.com/wiki/Bread_Box,,,,Came with Launch Box
HW Fun Park 5-pack,2020,2/5,Pedal Driver,,,Used,Marketplace,https://hotwheels.fandom.com/wiki/Pedal_Driver,,,,Came with Launch Box
HW Metro,2024,8/10,Total Disposal,160/250,,Opened,Dollar General,,,,,
HW Ride-Ons,2024,5/5,Rink Racer,168/250,,Opened,Dollar General,,,,,
HW Modified,2024,6/10,McLaren Solus GT,70/250,,Opened,Mommy,,,,,
HW Screen Time,2024,2/10,U.S.S. Enterprise NCC-1701,4/250,,New on card,Dollar General,,,,,Star Trek
HW Dirt,2024,4/10,2020 Toyota Tacoma,198/250,,New on card,Target,,,,,
HW Dirt,2024,6/10,Lamborghini Huracan Sterrato,222/250,,New on card,Target,,,,,
Hot Wheels Let’s Race,2024,5/5,Duck N’ Roll,167/250,,Opened,Target,,,,,Hot Wheels Let’s Race / Glow in the dark
HWMT Crash Legends,2023,3/5,Mercedes-Benz Unimog,,,Opened,Walmart,,,,,
HWMT Back to Basics,2024,1/7,Duck N’ Roll,,,Opened,Dollar General,,Monster,,,
HWMT,2019,49/50,Psycho-Delic,,,Opened,Ross,,,,,Podium Crasher casting
HWMT Champion Crashers,2023,4/6,Race Ace,,,Opened,Walmart,,,,,
HWMT DC,2024,,Batman,,,Opened,Walmart,,,,,
HWMT HW Flames,2020,3/5,5 Alarm,,,Opened,,,,,,type:Fire truck
Color Shifters,2018,,Audacious,,,Used,Marketplace,,,,,Came with Ultimate Garage
Ultra Hots,2024,4/8,1973 BMW 3.0 CSL Race Car,,,Opened,Brother,,,,,
HW Dream Garage,2021,5/5,Deora II,144/250,,Opened,Flea Market,,TH,,,
HW Imagination,2012,,Angry Birds Minion,35/247,,New on card,Flea Market,,,,,
HW Glow Wheels,2016,8/10,Loop Coupe,53/250,,New on card,Flea Market,,,,,Best for Track / Glow in the dark
HW J-Imports,2021,3/10,1970 Toyota Celica,151/250,,New on card,Flea Market,,,,,
HW J-Imports,2024,7/10,Mazda RX-3,156/250,,Opened,Target,,,,[white],Tooned
HW J-Imports,2024,10/10,Toyota GR86 Cup,203/250,,New on card,Target,,,,,Toni Breidinger
2004 First Editions,2004,,Tooned Deora,25/100,,New on card,Flea Market,,,,,
HW Metro,2022,9/10,Ain’t Fare,77/250,,New on card,Flea Market,,,,Ain’t Fare (HW Metro 2022) [yellow].jpeg,type:Bus
HW City,2014,,Surfin’ School Bus,3/250,,New on card,Flea Market,,,,,type:Bus
HW City,2014,,Surfin’ School Bus,3/250,,New on card,Flea Market,,,,Surfin’ School Bus (HW City 2014) [yellow].jpeg,type:Bus
HW City Works,2017,10/10,Hot Wheels High,93/365,,New on card,Flea Market,,,,,Best for Track / type:Bus
Neon Speeders,2023,7/8,Rally Cat,,,New on card,Flea Market,,,,,
Tesla: Greetings from Space,2019,,2008 Tesla Roadster,,,New on card,Flea Market,,,,,
HW Rescue,2023,1/10,Lightnin' Bug,179/250,,Opened,Dollar General,,,,,Best for Track
HW Track Champs,2023,5/5,Rollin' Solo,133/250,,Opened,Dollar General,,,,,Best for Track
HW Extreme Sports,2024,4/5,Surfin' School Bus,65/250,,Opened,Target,,,,,type:Bus
HW Rescue,2019,7/10,5 Alarm,172/250,,Opened,Flea Market,,,,,type:Fire truck
Muscle Mania,2024,5/5,Aston Martin DB4GT High-Speed Edition,219/250,,New on card,Publix,,,,,
HW the 90s,2024,8/10,Toyota Supra,232/250,,New on card,Publix,,,,,
Safari Mode,2025,1/5,Lamborghini Huracan Sterrato,41/250,,New on card,Walmart,,,,,
HW J-Imports,2025,3/5,Subaru BRZ,48/250,,New on card,Walmart,,,,,
HW the 90s,2024,10/10,1998 Subaru Impreza 22B-STi Version,244/250,,New on card,Walmart,,,,,
HW Modified,2025,1/5,2022 Ford Maverick Custom,49/250,,New on card,Walmart,,,,,
Mustang 60,2025,1/5,Ford Mustang GTD,34/250,,New on card,Walmart,,,,,
Rod Squad,2025,3/10,1955 Chevy,45/250,,New on card,Walmart,,,,,
Hot Wheels Let’s Race,2025,1/5,Super Twin Mill,19/250,,New on card,Walmart,,,,,Hot Wheels Let’s Race
Then and Now,2024,10/10,Ford Mustang Dark Horse,250/250,,New on card,Walmart,,,,,
Then and Now,2024,5/10,1967 Ford GT40 Mk.IV,220/250,,New on card,Walmart,,ZAMAC,,,
HW Screen Time,2024,9/10,Bumblebee,186/250,,New on card,Walmart,,,,Bumblebee (HW Screen Time 2024) [golden].jpeg,Transformers
HW Rolling Metal,2025,5/5,Hi-Roller II,247/250,,New on card,Walmart,,,,,
HW J-Imports,2025,1/5,Nissan Skyline 2000GT-R LBWK,26/250,,New on card,Walmart,,,,,Liberty Walk
HW Art Cars,2024,9/10,Speed Bump,163/250,,New on card,Family Dollar,,,,,
HW Vans,2024,5/5,Dodge Van,248/250,,New on card,Walmart,,,,,
X-Raycers,2025,1/10,Nerve Hammer,13/250,,New on card,Walmart,,,,,
HW Dream Garage,2025,2/5,Mazda MX-5 Miata,1/250,,New on card,Walmart,,,,,Hot Wheels Legends Tour Winner
HW Vans,2024,4/5,VW T3 Custom,227/250,,New (open),Walmart,,,,,Volkswagen
Compact Kings,2022,3/5,Rocket Box,69/250,,Opened,Dollar General,,,,,
Track Stars,2020,4/5,Nerve Hammer,100/250,,Opened,,,,,,
2004 First Editions,2004,,Blings Hyperliner,13/100,,Opened,Mommy,,,,,
Tooned,2024,1/5,1970 Dodge Charger,161/250,,Opened,,,,,,Fast & Furious
Spider-Man Web-Car Launcher,2017,,Web-Car,,,Used,Community Thrift,https://hotwheels.fandom.com/wiki/Web-Car,,,,
Police Pursuit 5-pack,2019,4/5,Speed Trap,,,Used,Community Thrift,,,,,
HW Zombies 5-pack,2021,1/5,Chevy Blazer 4x4,,,Used,Community Thrift,,,,,
Mainline,1998,,1957 Chevy,787,,Used,Goodwill,,,,,
HW Sports,2018,10/10,Track Manga,295/265,,Used,Goodwill,,,,,
HW Hot Trucks 5-pack,2018,1/5,1982 VW Caddy Pickup,,,Used,Goodwill,,,,,
HW Hot Trucks 5-pack,2018,2/5,Custom 1956 Ford Truck,,,Used,Goodwill,,,,,
HW Hot Trucks 5-pack,2018,3/5,Sandblaster,,,Used,Goodwill,,,,,
HW Hot Trucks 5-pack,2018,4/5,1967 Chevy C10,,,Used,Goodwill,,,,,
HW Hot Trucks 5-pack,2018,5/5,Chevy Silverado,,,Used,Goodwill,,,,,
2009 New Models,2009,2/42,Circle Tracker,2/190,,Used,Goodwill,,,,,
Minion Character Cars,2020,4/6,Minion Bob,,,Used,Goodwill,,,,,
Web Trading Cars,2008,24/24,Brutalistic,100/196,,Used,Goodwill,,,,,
Compact Kings,2022,2/5,VW Bug,42/250,,Used,Goodwill,,,,,
Flaming Hot Wheels,2003,3/5,Pony-Up,062,,Used,Goodwill,,,,,
Spring,2019,5/6,Nerve Hammer,,,Used,Goodwill,,,,,
HW Glow Wheels,2017,5/10,24 Ours,189/366,,Used,Goodwill,,,,,Glow in the dark
HW Designs,2009,8/10,Pony-Up,104/190,,Used,Goodwill,,,,,
HW Art Cars,2020,6/10,La Fasta,114/250,,Used,Goodwill,,,,,
2008 New Models,2008,8/40,Corvette Grand Sport,8/196,,Used,Goodwill,,,,,
Car Meet 5-pack,2018,5/5,Subaru Impreza WRX,,,Used,Goodwill,,,,,
Car Meet 5-pack,2018,2/5,Mitsubishi Eclipse Concept Car,,,Used,Goodwill,,,,,
Car Meet 5-pack,2018,3/5,BMW M3,,,Used,Goodwill,,,,,
Car Meet 5-pack,2018,4/5,1955 Chevy Bel Air Gasser,,,Used,Goodwill,,,,,
Car Meet 5-pack,2018,1/5,1999 Ford Mustang,,,Used,Goodwill,,,,,
Web Trading Cars,2008,1/24,Chevy Camaro Concept,77/196,,Used,Goodwill,,,,,
Multipack Exclusive,2014,,Fast Fish,,,Used,Goodwill,,,,,
2006 First Editions,2006,12/38,2005 Dodge Viper,012,,Used,Goodwill,,,,,
2009 New Models,2009,11/42,2009 Ford F-150,11/190,,Used,Goodwill,,,,,
Modified Rides,2009,8/10,1940 Ford,164/190,,Used,Goodwill,,,,,
World Racers 5-pack,2009,2/5,Lamborghini Countach,,,Used,Dima,https://hotwheels.fandom.com/wiki/25th Anniversary Lamborghini Countach,,,,
2011 New Models,2011,38/50,Twinduction,38/244,,Used,Dima,,,,,
Track Stars,2011,6/15,Formula Street,,,Used,Dima,,,,,
Multipack Exclusive,2010,,Triumph TR6,,,Used,Dima,,,,,
HW City Works 5-pack,2009,3/5,Flame Stopper,,,Used,Dima,,,,,type:Fire truck
Track Set,2020,,Burl-Esque,,,Opened,Isa,,,,,
DC Character Cars,2018,,Harley Quinn,,,Used,Flea Market,,,,,
HW Rescue,2016,10/10,Backdrafter,220/250,,Used,Flea Market,,,,,
57th Anniversary Mix 1,2025,6/6,Baja Bison T5,,,New on card,Publix,,Chase,,,
57th Anniversary Mix 1,2025,1/6,Volkswagen Baja Bug,,,New on card,Publix,,,,,
Track Builder 5-pack,2017,3/5,CUL8R,,,Opened,Grandpa,,,,,
X-Raycers,2021,3/5,Forward Force,128/250,,Opened,Grandpa,,,,,
Nightburnerz 5-pack,2024,4/5,2018 Copo Camaro SS,,,Opened,Grandpa,,,,,
Nightburnerz 5-pack,2024,1/5,1967 Shelby GT500,,,Opened,Grandpa,,,,,
Nightburnerz 5-pack,2024,2/5,Nissan 300ZX Twin Turbo,,,Opened,Grandpa,,,,,
Nightburnerz 5-pack,2024,3/5,Renault Megane Trophy,,,Opened,Grandpa,,,,,
Nightburnerz 5-pack,2024,5/5,Gazella R,,,Opened,Grandpa,,,,,
Car Meet 5-pack,2023,1/5,Custom 2018 Ford Mustang GT,,,Opened,Grandpa,,,,,
Car Meet 5-pack,2023,2/5,Big-Air Bel-Air,,,Opened,Grandpa,,,,,
Car Meet 5-pack,2023,3/5,Aristo Rat,,,Opened,Grandpa,,,,,
Car Meet 5-pack,2023,4/5,2013 Copo Camaro,,,Opened,Grandpa,,,,,
Car Meet 5-pack,2023,5/5,Muscle and Blown GRX50,,,Opened,Grandpa,,,,,
Monster Truck + Car pack,2020,,Bone Shaker,,,Opened,Grandpa,,,,,
Street Beasts,2017,9/10,Howlin' Heat,2/365,,Opened,Grandpa,,,,,
Action 5-pack,2020,,Carbonic,,,Opened,Grandpa,,,,,
Action 5-pack,2020,,High Voltage,,,Opened,Grandpa,,,,,
Car Culture: Slide Street 2,2024,1/5,2023 Nissan Z,,,Opened,Grandpa,,PREMIUM,,,
2006 First Editions,2006,1/38,1970 Plymouth Superbird,001,,Opened,Grandpa,,,,,
HW First Response,2025,5/5,Rapid Pulse,137/250,,Opened,Grandpa,,,,,
HW First Response,2025,5/5,Rapid Pulse,137/250,,Opened,Sandy,,,,,
Muscle Mania,2025,1/10,1971 Dodge Challenger,131/250,,Opened,Grandpa,,,,,
Mystery Models,2025,7/10,Project Speeder,,,Opened,Grandpa,,,,,
Mystery Models,2025,5/10,Pharodox,,,Opened,Grandpa,,,,,
1998 First Editions,1998,29/40,Mustang MACH 1,,,Opened,Grandpa,,,,,
HW Designed By,2025,5/5,Monster Dairy Delivery,133/250,,Opened,Grandpa,,,,,
HW Designed By,2025,2/5,Fish’d & Chip’d,32/250,,New on card,Publix,,TH,,,
Fire Squad,1996,3/4,Flame Stopper,426,,Opened,Grandpa,,,,,type:Fire truck
Factory Fresh,2025,1/5,Morgan Super 3,15/250,,Opened,Family Dollar,,,,,
HW Metro,2025,4/5,Maserati Shamal,58/250,,Opened,Grandpa,,,,,
HW Modified,2025,1/5,Punk Rod,71/250,007,New on card,Walmart,,ZAMAC,2,,
HW Modified,2025,5/5,Renault Espace F1,172/250,,Opened,Grandpa,,,,,
HW EV,2025,1/10,Tesla Model S Plaid,9/250,,Opened,Grandpa,,,,,
HW J-Imports,2025,5/5,1985 Honda City Turbo II,141/250,,New on card,Family Dollar,,TH,2,,
Then and Now,2025,2/10,Range Rover Velar,122/250,,New on card,,,,,,
HW 70s vs 90s,2025,5/10,BMW 2002,77/250,,New on card,,,,,,
HW Green Speed,2024,10/10,Ford Mustang Mach-E 1400,129/250,,New on card,Family Dollar,,TH,,,
Then and Now,2024,8/10,LB-Silhouette Works GT Nissan 35-GT Ver2,242/250,,New on card,Family Dollar,,,,,
Then and Now,2024,7/10,2016 Ford GT Race,229/250,,New on card,,,,,,
Baja Blazers,,9/10,Volkswagen Baja Bug,241/250,,New on card,,,TH,,,
HW First Response,2024,2/10,1947 Chevy Fleetline,8/250,,New on card,,,TH,,,
HW Hot Trucks,2025,6/10,1975 Datsun Sunny Truck (B120),93/250,,New on card,,,,,,
HW Metro,2025,5/5,Cone Shaker,148/250,,Opened,Mommy,,,,,Hot Wheels Let’s Race
HW Ride-Ons,2025,5/5,Pixel Shaker,138/250,,Opened,Mommy,,,,,Hot Wheels Let’s Race
HW Celebration Racers,2025,6/10,Mattel Dream Mobile,167/250,,New on card,Mommy,,,,,80th Mattel Anniversary
HW Moto,2025,1/5,Honda CB750 Cafe,150/250,,Opened,Dollar Tree,,,,,type:Motorcycle
HW Moto,2025,1/5,Honda CB750 Cafe,150/250,,Opened,Grandpa,,,,Honda CB750 Cafe (HW Moto 2025) [blue].jpeg,type:Motorcycle
Muscle Mania,2025,4/10,Ravenger S/T,207/250,,Opened,Grandpa,,,,,
Then and Now,2025,7/10,Ford Mustang Dark Horse,219/250,,New on card,Walmart,,,,,
Then and Now,2025,8/10,Porsche 911 GT3 RS,220/250,,New on card,Walmart,,,,,
Batman,2025,5/5,1966 Bat Boat,232/250,,New on card,Walmart,,,,,
HW Moto,2025,4/5,Honda VFR750R (RC30),224/250,,New on card,Walmart,,,,,type:Motorcycle
Then and Now,2025,3/10,2018 Honda Civic Type R,123/250,,New on card,Dollar General,,,,,
HW Race Day,2025,3/10,Porsche 904 Carrera GTS,100/250,,New on card,Walmart,,,,,
Exotics,2025,2/5,Peugeot 9X8 Hypercar,174/250,,New on card,Walmart,,,,,
Then and Now,2025,9/10,1973 Honda Civic Custom,231/250,,New on card,Walmart,,,,,
HW 70s vs 90s,2025,1/10,1990 Honda Civic EF,28/250,,New on card,Dollar General,,,,,
X-Raycers,2025,9/10,Rig Storm,110/250,,New on card,Lidl,,TH,,,Hot Wheels Let’s Race
HW Celebration Racers,2025,5/10,Birthday Burner,143/250,,New on card,Walmart,,TH,,,
HW Screen Time,2025,9/10,Chevy El Camino,147/250,,Opened,,,,,,Fast & Furious
Mustang 60,2025,5/5,Custom 2018 Ford Mustang GT,211/250,,New on card,,,,,,
HW Wagons,2025,4/5,Gone Mad,244/250,,Opened,,,,,,
HW Metro,2025,5/5,Cone Shaker,148/250,,Opened,,,,,Cone Shaker (HW Metro 2025) [green].jpeg,
Experimotors,2025,6/10,Porsche 911 Carrera Clip,187/250,,New on card,Walmart,,,,,Keychain
Experimotors,2025,6/10,Porsche 911 Carrera Clip,187/250,,New on card,,,,,Porsche 911 Carrera Clip (Experimotors 2025) [red].jpeg,Keychain
Factory Fresh,2025,5/5,Ferrari SF90 Stradale,191/250,,New on card,Walmart,,,,,
HW Exotics,2025,4/5,Ferrari F40 Competizione,198/250,,New on card,Walmart,,,,,
HW Dirt,2025,4/10,Tesla Cyberquad,82/250,,Opened,Walmart,,,,,
Compact Kings,2025,9/10,Honda S800 Racing,212/250,,New on card,Publix,,TH,,,
Then and Now,2025,5/10,Land Rover Defender 90,210/250,,Opened,,,,,,
Then and Now,2025,5/10,Land Rover Defender 90,210/250,,New on card,Walmart,,ZAMAC,,Land Rover Defender 90 (Then and Now 2025) [ZAMAC].jpeg,
Then and Now,2025,5/10,Land Rover Defender 90,210/250,,Opened,Grandpa,,,,Land Rover Defender 90 (Then and Now 2025) [green].jpeg,
HW Reverse Rake,2025,5/5,Honda Civic Custom,201/250,,New on card,,,,,,
HW Extreme Sports,2025,5/5,HW450F,130/250,,Opened,,,,,,type:Motorcycle
Race Day,2025,10/10,Ferrari 365 GTB4 Competizione,222/250,,New on card,Walmart,,,,,
HW Moto,2025,5/5,1966 Triumph Tiger 100,235/250,,Opened,Target,,TH,,,type:Motorcycle
HW Celebration Racers,2025,9/10,Feline Lucky,234/250,,Opened,Target,,,,,
HW Moto,2025,3/5,Honda Motocompo,181/250,,Opened,Lidl,,,,,type:Motorcycle
HW Moto,2025,3/5,Honda Motocompo,181/250,,Opened,Grandpa,,,,Honda Motocompo (HW Moto 2025) [yellow].jpeg,type:Motorcycle
HW Moto,2025,2/5,Vespa 90 SS Super (1966),177/250,,Opened,Lidl,,,,,type:Motorcycle
Then and Now,2025,10/10,Porsche 911 Turbo Cabriolet,239/250,,New on card,Target,,,,,
Then and Now,2025,3/10,2018 Honda Civic Type R,123/250,,New on card,Target,,,,2018 Honda Civic Type R (Then and Now 2025) [blue].jpeg,
Modified,2025,4/5,Ford GT,159/250,,New on card,Target,,,,,
Modified,2025,4/5,Ford GT,159/250,,Opened,Grandpa,,,,,
HW Designed By,2025,3/5,Gotta Go,84/250,,Opened,Grandpa,,,,,
Experimotors,2025,8/10,Speed Driver,206/250,,Opened,Mommy,,,,,
HW Dirt,2025,5/10,1975 Chevy Blazer Custom,115/250,,Opened,Archer,,,,,
Tooned 5-pack,2025,1/5,Surf ‘N Turf,,,Opened,Mommy,,,,,
Tooned 5-pack,2025,2/5,Toon’d 1983 Chevy Silverado,,,Opened,Mommy,,,,,
Tooned 5-pack,2025,3/5,Poppa Wheelie,,,Opened,Mommy,,,,,
Tooned 5-pack,2025,4/5,1969 Camaro Z28,,,Opened,Mommy,,,,,
Tooned 5-pack,2025,5/5,Head Starter,,,Opened,Mommy,,,,,
Avon Super Tuners,2000,1/3,Sho-Stopper,,,Opened,Dima,,,,,
Avon Super Tuners,2000,2/3,Muscle Tone,,,Opened,Dima,,,,,
Avon Super Tuners,2000,3/3,MX48 Turbo,,,Opened,Dima,,,,,
HW J-Imports,2024,4/10,1992 Honda Civic EG,95/250,,New on card,Flea Market,,,,,
Nightburnerz,2019,2/10,1985 Honda City Turbo II,,,New on card,Flea Market,,,,,
HW City: HW Rescue,2015,,5 Alarm,51/250,2584N,Opened,Flea Market,,,,,
HW Off-Road,2014,,Fly-By,119/250,0344N,Opened,Flea Market,,,,,type:Motorcycle
Baja Blazers,2020,8/10,HW450F,28/250,,Opened,Flea Market,,,,,type:Motorcycle
HW Moto,2023,5/5,Honda Super Cub Custom,160/250,,Opened,Flea Market,,,,,type:Motorcycle
Tooned,2022,1/5,Tooned Volkswagen Golf MK1,10/250,,Opened,Flea Market,,,,,
HW Drift,2021,1/5,Dodge Van,50/250,,Used,Dima,,,,,
Super Rigs,2014,,Road Roller,,,Used,Flea Market,,,,,
Experimotors,2017,5/10,Emoticar,26/365,2626N,Opened,Flea Market,,,,,
HW Main Street,2011,1/10,Hummer H2 SUT,161/244,2350N,Opened,Flea Market,,,,,
2004 First Editions,2004,66/100,Fatbax Shelby Cobra 427 S/C,066,,Opened,Flea Market,,,,,
HW Race Day,2024,10/10,Honda S800 Racing,209/250,,New on card,,,,,,
HW Fun Park 5-pack,2025,,Loco Motorin’,,,Opened,Mommy,,,,,type:Train
HW Fun Park 5-pack,2025,,Tee’d Off 2,,,Opened,Mommy,,,,,
HW Fun Park 5-pack,2025,,Cool-One,,,Opened,Mommy,,,,,
HW Fun Park 5-pack,2025,,Loopster,,,Opened,Mommy,,,,,
HW Fun Park 5-pack,2025,,Bump Around,,,Opened,Mommy,,,,,
Experimotors,2025,3/10,Skull Shaker,118/250,,Opened,Archer,,,,,
HW 70s vs 90s,2025,6/10,1971 Lamborghini Miura P400SV,78/250,,Opened,Grandpa,,,,,
Mustang 60,2025,4/5,1971 Mustang Funny Car,175/250,,Opened,Grandpa,,,,,
HW Designed By,2025,5/5,Monster Dairy Delivery,133/250,,Opened,Grandma,,,,Monster Dairy Delivery (HW Designed By 2025) [blue].jpeg,
Experimotors,2025,4/10,HW Ultimate T-Rex Transporter,156/250,,Opened,Dollar Tree,,,,,
Muscle Mania,2025,10/10,1983 Porsche 928S,250/250,,New on card,Publix,,,,,
HW Gassers 5-pack,2025,1/5,Straight Pipes,,,Opened,Mommy,,,,,
HW Gassers 5-pack,2025,2/5,1964 Nova Wagon Gasser,,,Opened,Mommy,,,,,
HW Gassers 5-pack,2025,3/5,1955 Chevy Bel Air Gasser,,,Opened,Mommy,,,,,
HW Gassers 5-pack,2025,4/5,1965 Mercury Comet Cyclone,,,Opened,Mommy,,,,,
HW Gassers 5-pack,2025,5/5,Fast-Bed Hauler,,,Opened,Mommy,,,,,
Experimotors,2025,5/10,Crate Racer,160/250,,Opened,,,,,,
Hot Wheels Let’s Race,2025,5/5,Buns of Steel,153/250,,Opened,Target,,,,,
Mainline,2003,,Rail Rodder,121,,Opened,Grandpa,,,,,type:Train
Experimotors,2025,9/10,Quick Chat,216/250,,Opened,Dollar Tree,,,,,
Street Beasts 5-pack,2024,1/5,Howlin' Heat,,,Opened,Mommy,,,,,
